[2026-04-27T11:30:08.438] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] Execution time 18 ms
[2026-04-27T11:30:08.455] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] ------------ handleResponse ------------
[2026-04-27T11:30:11.917] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.Controller.BuilderController.adminPage] Opening admin page
[2026-04-27T11:30:11.917] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.UserService.TariffService.getTariffPackages] Fetching Tariff Package names from JSON
[2026-04-27T11:30:11.920] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.Controller.BuilderController.adminPage] Fetching TP list for admin user=USER1 networkId=16
[2026-04-27T11:30:11.922] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.Controller.BuilderController.adminPage] TP list response size=3
[2026-04-27T11:30:13.020] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] ------------ handleRequest ------------
[2026-04-27T11:30:13.020] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] GET
[2026-04-27T11:30:13.020] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] /admin/hierarchy/tp_test
[2026-04-27T11:30:13.020] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] 10.10.21.49
[2026-04-27T11:30:13.033] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.UserService.TariffService.getHierarchy] Fetching hierarchy for tpName=tp_test
[2026-04-27T11:30:13.033] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.util.JsonStorage.getTpData] Fetching JSON for tp_test
[2026-04-27T11:30:13.033] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] 200
[2026-04-27T11:30:13.033] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] Response Payload {"tpName":"tp_test","username":"USER1","networkId":16,"data":{"username":"USER1","isUpdate":true,"submittedOn":"23 Apr 2026","packageType":"PREPAID","tariffPackCategory":"NORMAL","tariffPackageDesc":"tp_test","charge":"4","endDate":"04/21/2026","publicityId":"tester","chargeId":"tp_test_PR","isCorporateYn":true,"tariffPlanId":1743,"tariffPlanName":"MI MUNDO S_V","selectedSvcs_s2":"[\"VOICE\"]","selectedSvcs_s3":"[\"VOICE\"]","selectedSvcs_s4":"[\"VOICE\",\"SMS\",\"DATA\"]","defaultAtps":[{"servicePackageId":1750,"chargeId":"tp_test_PR","packageName":"MI MUNDO M_VO","validity":"Monthly","midnightExpiry":"No","renewal":"No","rental":0,"maxCount":0,"freeCycles":"0"}],"allowedAtps":[{"servicePackageId":1765,"chargeId":"tp_test_PR","packageName":"DYNAMIC_DATP","validity":"Monthly","midnightExpiry":"No","renewal":"No","rental":0,"maxCount":0,"freeCycles":"0"}]}}
[2026-04-27T11:30:13.033] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] Execution time 13 ms
[2026-04-27T11:30:13.033] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] ------------ handleResponse ------------
[2026-04-27T11:30:14.964] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] ------------ handleRequest ------------
[2026-04-27T11:30:14.964] [TarrifBuilder] [INFO ]  [com.xius.TariffBuilder.config.ApiLogger.doFilterInternal] GET
